Quarter,FemaleBirths
2000Q1,3070
2000Q2,3178
2000Q3,3511
2000Q4,3151
2001Q1,3070
2001Q2,3392
2001Q3,4000
2001Q4,3380
2002Q1,3258
2002Q2,3365
2002Q3,4003
2002Q4,3416
2003Q1,3160
2003Q2,3444
2003Q3,4113
2003Q4,3273
2004Q1,3204
2004Q2,3374
2004Q3,4104
2004Q4,3662
2005Q1,3145
2005Q2,3493
2005Q3,3690
2005Q4,3275
2006Q1,3352
2006Q2,3482
2006Q3,4185
2006Q4,3302
2007Q1,3436
2007Q2,3444
2007Q3,3965
2007Q4,3402
2008Q1,3317
2008Q2,3625
2008Q3,4198
2008Q4,3513
2009Q1,3320
2009Q2,3520
2009Q3,3994
2009Q4,3650
2010Q1,3211
2010Q2,3513
2010Q3,3951
2010Q4,3540
2011Q1,3609
2011Q2,3698
2011Q3,4247
2011Q4,3705
2012Q1,3401
2012Q2,3611
2012Q3,4287
2012Q4,3744